Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
271,63.724,52.194,107.887,37.687,108.213,38.604,58.934,79.755,92.695
272,63.885,51.811,108.820,38.010,108.936,37.732,58.929,79.275,92.869
273,64.270,52.057,108.991,37.707,108.896,36.370,58.895,79.055,93.106
274,65.510,51.973,110.840,37.595,107.714,35.784,58.645,77.660,94.587
275,65.073,52.076,110.078,37.709,107.598,35.862,59.120,77.332,95.202
276,65.187,50.407,110.006,37.783,107.606,35.833,59.226,77.292,95.346
277,65.420,50.256,110.007,39.438,107.743,36.075,60.091,77.291,95.731
278,65.315,49.977,109.965,39.342,107.855,35.683,60.107,77.106,95.719
279,64.786,52.980,110.340,39.396,107.855,35.928,58.119,76.898,93.945
280,64.499,53.702,109.941,38.191,107.766,35.900,61.016,76.840,93.715
281,64.503,52.799,109.926,38.057,107.434,35.921,60.895,79.441,93.737
282,64.377,52.705,110.170,36.234,108.535,35.858,60.966,79.891,93.737
283,54.572,52.774,110.162,35.259,108.632,34.598,61.360,78.952,93.176
284,52.866,53.981,110.161,34.786,112.244,34.598,63.505,78.494,92.169
285,52.859,52.617,110.001,32.676,111.839,34.807,63.090,78.616,92.082
286,52.250,52.520,110.400,33.676,111.840,34.836,62.752,78.365,92.141
287,52.531,53.185,111.237,33.933,112.784,34.254,64.694,78.709,92.163
288,52.705,53.030,110.873,34.098,112.389,35.554,64.448,79.409,91.232
289,52.608,53.703,110.874,34.245,111.224,35.743,60.388,79.452,91.668
290,52.492,53.186,110.910,33.974,111.253,36.483,59.872,78.719,90.746
291,52.501,52.111,113.067,33.974,111.253,36.024,59.661,78.882,90.874
292,52.507,52.406,113.034,34.034,111.197,35.977,59.570,78.598,90.168
293,52.538,52.481,112.936,33.880,111.571,34.978,59.570,78.814,88.966
294,52.296,54.690,112.799,32.917,111.098,35.050,58.170,78.833,89.469
295,52.290,54.736,112.606,32.833,110.796,35.044,57.990,77.183,88.819
296,52.302,54.958,115.010,33.024,110.544,35.159,58.040,76.492,83.635
297,52.209,55.091,115.259,33.130,110.719,35.883,57.891,76.362,83.664
298,52.671,55.914,115.201,33.745,110.659,35.895,57.754,76.614,84.697
299,52.114,54.943,115.507,32.183,110.132,36.771,58.093,76.465,84.704
300,51.076,54.434,117.319,31.573,110.495,36.678,58.766,76.543,84.836
301,53.076,54.010,117.321,30.026,110.495,36.528,58.874,75.861,84.198
302,51.235,53.981,116.844,30.043,111.450,36.739,58.874,75.865,84.211
303,50.155,54.874,120.572,30.052,111.452,34.477,58.840,75.745,84.457
304,49.847,54.874,120.604,30.068,111.470,35.326,59.066,79.356,84.535
305,49.793,55.871,120.694,29.550,113.255,35.324,59.057,79.823,84.612
306,49.396,55.548,121.232,29.619,115.077,35.000,59.507,78.169,84.600
307,49.472,53.060,120.558,29.551,115.598,34.997,59.516,79.147,83.985
