Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
GA,100,80,0.11440575779666308,9.8070276E7
MIMIC,100,80,0.04592728834196869,1.5118909821E10
RHC,200,10,0.32750081040175566,371790.0
SA,200,10,0.32750081040175566,909389.0
GA,200,10,0.32750081040175577,2.7682216E7
MIMIC,200,10,0.2995371419465892,8.780745E7
RHC,200,20,0.18921844196963689,588799.0
SA,200,20,0.22299229769515028,1121278.0
GA,200,20,0.223532448294716,5.112114E7
MIMIC,200,20,0.19435947911751938,3.35637854E8
RHC,200,40,0.12822561818669076,1040145.0
SA,200,40,0.12302581213413369,1557659.0
GA,200,40,0.15066671836493384,9.2940832E7
MIMIC,200,40,0.1035567657268274,2.249123792E9
RHC,200,60,0.0882361671151231,1512366.0
SA,200,60,0.07523660046539073,2015307.0
GA,200,60,0.13944252412822788,1.39683593E8
MIMIC,200,60,0.07260221184467026,1.0033061357E10
RHC,200,80,0.058150846602208116,4313395.0
SA,200,80,0.05621341447901395,5373628.0
GA,200,80,0.09724748478981851,3.89313476E8
MIMIC,200,80,0.04863824644843461,3.2478903865E10
RHC,400,10,0.3280822915248153,736885.0
SA,400,10,0.3299905813727482,2145670.0
GA,400,10,0.33134583383320726,6.0392262E7
MIMIC,400,10,0.30856085369274994,1.76367539E8
RHC,400,20,0.20063102547070608,1166570.0
SA,400,20,0.1842932790348371,2585202.0
GA,400,20,0.24219575518580785,9.3805717E7
