Iteration,RHC,SA,GA
632,6.993,8.651,1.951
633,6.922,8.693,1.860
634,6.939,8.668,1.915
635,6.902,8.601,1.987
636,6.902,8.608,1.996
637,6.816,8.574,1.864
638,6.988,7.925,1.908
639,6.736,7.933,1.936
640,6.735,7.924,2.135
641,6.613,7.991,1.880
642,6.602,7.922,1.880
643,6.595,7.899,1.925
644,6.593,7.842,1.988
645,6.583,7.852,1.860
646,6.554,7.820,1.868
647,6.429,7.837,1.892
648,6.415,7.829,2.076
649,6.421,7.738,1.967
650,6.418,7.720,1.883
651,6.481,7.716,2.027
652,6.412,7.812,1.937
653,6.411,7.698,1.885
654,6.455,7.652,1.930
655,6.454,7.649,1.955
656,6.464,7.671,1.964
657,6.403,7.647,1.910
658,6.403,7.645,1.900
659,6.403,7.644,1.854
660,6.408,7.686,1.937
661,6.356,7.628,1.955
662,6.356,7.825,1.965
663,6.356,7.614,1.793
664,6.342,7.615,1.828
665,6.350,7.600,2.037
666,6.329,7.663,1.884
667,6.328,7.682,1.887
668,6.546,7.590,1.971
669,6.331,7.646,1.831
670,6.302,7.541,1.915
671,6.441,7.497,1.838
672,6.303,7.497,1.789
673,6.282,7.517,1.897
674,6.290,7.557,1.940
675,6.283,7.261,1.898
676,6.286,7.244,1.897
677,6.307,7.208,1.816
678,6.282,7.199,1.911
679,6.199,7.163,1.801
680,6.256,7.156,1.813
681,6.220,7.168,1.948
682,6.195,7.162,1.949
683,6.200,7.154,1.894
684,6.274,7.166,1.866
685,6.241,7.166,1.907
686,6.208,7.082,1.874
687,6.238,7.123,1.840
688,6.197,7.105,1.914
689,6.190,7.095,1.929
690,6.198,7.083,1.828
691,6.245,7.165,1.884
692,6.192,7.061,1.886
693,6.202,6.963,1.842
694,6.190,6.963,1.828
695,6.203,6.943,1.851
696,6.221,6.934,2.122
697,6.192,6.943,1.803
698,6.201,6.928,1.912
699,6.185,6.971,1.861
700,6.182,6.907,1.881
701,6.222,6.902,1.858
702,6.192,6.902,1.877
703,6.205,6.913,1.845
704,6.208,6.902,1.859
705,6.195,6.890,1.838
706,6.202,6.884,1.804
707,6.186,6.841,1.851
708,6.277,6.849,1.909
709,6.254,6.871,1.883
710,6.181,6.838,1.849
711,6.197,6.849,1.810
712,6.186,6.833,1.973
713,6.155,6.830,1.971
714,6.091,6.796,1.794
715,6.091,6.811,1.858
716,6.107,6.759,1.849
717,6.095,6.793,1.915
718,6.077,6.767,1.889
719,6.079,6.650,1.805
720,6.162,6.525,1.825
721,6.078,6.550,1.898
722,6.077,6.579,1.839
723,6.075,6.478,1.816
724,6.083,6.460,1.863
725,6.075,6.463,1.886
726,6.064,6.519,1.804
727,6.058,6.479,1.843
728,6.298,6.450,1.854
729,6.032,6.366,1.958
730,6.025,6.419,1.834
731,6.058,6.368,1.827
732,6.038,6.364,1.812
733,6.025,6.375,1.881
734,6.026,6.341,1.884
735,6.039,6.356,1.822
736,5.634,6.335,1.887
737,5.608,6.337,1.877
738,5.609,6.227,1.877
739,5.607,6.094,1.811
740,5.607,6.098,1.816
741,5.607,6.084,1.781
742,5.607,6.078,1.836
743,5.606,6.106,1.828
744,5.614,6.078,1.803
745,5.615,6.119,1.839
746,5.603,6.078,1.819
747,5.603,6.066,1.852
748,5.736,6.214,1.829
749,5.606,6.067,1.832
750,5.636,6.060,1.812
751,5.621,6.031,1.781
752,5.569,6.018,1.826
753,5.472,6.036,1.838
754,5.474,6.031,1.825
755,5.476,5.974,1.944
756,5.557,6.024,1.884
757,5.463,5.975,1.865
758,5.459,5.972,1.873
759,5.570,5.979,1.892
760,5.455,5.965,1.860
761,5.473,5.975,1.838
762,5.370,6.281,1.880
763,5.365,6.036,1.821
764,5.477,5.986,1.877
765,5.375,5.934,1.865
766,5.365,5.964,1.820
767,5.345,5.920,1.854
768,5.347,5.905,1.795
769,5.346,5.908,1.810
770,5.357,5.897,1.943
771,5.809,5.907,1.794
772,5.376,5.911,1.930
773,5.333,5.893,1.931
774,5.321,5.938,1.893
775,5.322,5.952,1.805
776,5.272,5.872,1.761
777,5.270,5.907,1.785
778,5.268,5.871,1.854
779,5.198,5.905,1.764
780,5.207,5.867,1.871
781,5.186,5.870,1.799
782,5.176,5.920,1.887
783,5.113,5.836,1.790
784,5.069,5.837,1.912
785,5.154,5.904,1.890
786,5.102,5.834,1.989
787,5.157,5.813,1.802
788,5.052,5.819,1.806
789,5.056,5.810,1.821
790,5.057,5.813,1.840
791,5.102,5.829,1.888
792,5.040,5.883,1.864
793,5.038,5.811,1.847
794,5.042,5.893,1.902
795,5.147,5.791,1.791
796,5.045,5.796,1.848
797,5.058,5.810,1.831
798,5.065,5.809,1.852
799,5.049,5.804,1.837
800,5.071,5.865,1.799
801,5.034,5.878,1.920
802,4.989,5.791,1.781
803,4.990,5.784,1.875
804,4.990,5.785,1.906
805,4.990,5.783,1.860
806,5.007,5.781,1.886
807,4.959,5.755,1.858
808,5.003,5.782,1.829
809,4.973,5.797,1.848
810,4.962,5.776,1.835
811,5.011,5.755,1.802
812,4.957,5.754,1.800
813,4.961,5.779,1.895
814,4.916,5.756,1.858
815,4.842,6.021,1.749
816,4.929,5.732,1.819
817,4.842,5.735,1.813
818,4.913,5.735,1.862
819,4.842,5.831,1.859
820,4.813,5.741,1.794
821,4.844,5.759,1.741
822,4.817,5.737,1.804
823,4.758,5.768,1.825
824,4.718,5.721,1.844
825,4.717,5.720,1.770
826,4.710,5.722,1.832
827,4.694,5.810,1.817
828,4.690,5.660,1.835
829,4.643,5.666,1.823
830,4.600,5.661,1.821
831,4.602,5.661,1.773
832,4.587,5.655,1.798
833,4.593,5.650,1.776
834,4.588,5.650,1.932
835,4.584,5.631,1.786
836,4.583,5.631,1.834
837,4.582,5.615,1.814
838,4.571,5.609,1.791
839,4.629,5.592,2.010
840,4.604,5.588,1.976
841,4.573,5.577,1.833
842,4.535,5.523,1.793
843,4.547,5.508,1.876
844,4.540,5.502,1.856
845,4.539,5.501,1.851
846,4.541,5.593,1.836
847,4.535,5.504,1.832
848,4.528,5.503,1.818
849,4.663,5.501,1.787
850,4.505,5.498,1.817
851,4.528,5.401,1.802
852,4.505,5.401,1.833
853,4.504,5.385,1.840
854,4.509,5.369,1.811
855,4.504,5.369,1.758
856,4.538,5.365,1.862
857,4.510,5.363,1.818
858,4.499,5.341,1.821
859,4.504,5.354,1.807
860,4.500,5.347,1.823
861,4.492,5.362,1.791
862,4.489,5.424,1.852
863,4.489,5.339,1.774
864,4.493,5.324,1.762
865,4.474,5.268,1.763
866,4.463,5.271,1.808
867,4.448,5.256,1.810
868,4.498,5.281,1.836
869,4.452,5.268,1.872
870,4.476,5.184,1.749
871,4.427,5.174,1.880
872,4.427,5.169,1.847
873,4.427,5.196,1.767
874,4.424,5.175,1.802
875,4.429,5.167,1.758
876,4.621,5.157,1.779
877,4.424,5.158,1.848
878,4.424,5.168,1.746
879,4.505,5.167,1.882
880,4.385,5.156,1.759
881,4.385,5.149,1.791
882,4.381,5.135,1.838
883,4.399,5.148,1.701
884,4.332,5.149,1.788
885,4.317,5.138,1.763
886,4.315,5.131,1.760
887,4.316,5.081,1.762
888,4.254,5.072,1.763
889,4.255,5.099,1.814
890,4.236,5.053,1.737
891,4.221,5.093,1.786
892,4.149,5.087,1.763
893,4.148,5.003,1.753
894,4.156,5.008,1.750
895,4.148,5.010,1.719
896,4.166,5.006,1.859
897,4.148,5.003,1.784
898,4.145,5.012,1.740
899,4.146,4.964,1.760
900,4.146,4.958,1.786
901,4.143,4.961,1.717
902,4.187,4.970,1.747
903,4.151,4.966,1.800
904,4.149,4.962,1.756
905,4.132,4.958,1.758
906,4.121,4.953,1.794
907,4.135,4.959,1.803
908,4.121,4.944,1.847
909,4.121,4.953,1.837
910,4.117,4.944,1.746
911,4.117,4.940,1.693
912,4.114,4.948,1.879
913,4.118,5.023,1.781
914,4.114,4.940,1.828
915,4.108,4.927,1.699
916,4.112,4.926,1.803
917,4.112,4.902,1.720
918,4.099,4.805,1.788
919,4.099,4.810,1.785
920,4.105,4.776,1.744
921,4.115,4.753,1.701
922,4.102,4.745,1.752
923,4.075,4.745,1.737
924,4.063,4.810,1.737
925,4.068,4.743,1.672
926,4.073,4.744,1.815
927,4.060,4.748,1.696
928,4.043,4.735,1.758
929,4.067,4.737,1.658
930,4.050,4.740,1.788
931,4.039,4.733,1.739
932,4.034,4.736,1.834
933,4.035,4.710,1.772
934,4.033,4.701,1.715
935,4.039,4.697,1.765
936,4.032,4.688,1.846
937,4.046,4.741,1.790
938,4.007,4.688,1.758
939,4.008,4.695,1.814
940,4.010,4.715,1.746
941,4.010,4.664,1.675
942,4.004,4.664,1.747
943,3.993,4.705,1.733
944,3.990,4.670,1.791
945,3.994,4.668,1.741
946,4.012,4.696,1.692
947,3.991,4.673,1.766
948,4.006,4.651,1.745
949,4.050,4.670,1.865
950,3.982,4.628,1.810
951,3.998,4.637,1.703
952,3.932,4.627,1.750
953,3.932,4.606,1.738
954,3.948,4.602,1.872
955,3.926,4.603,1.714
956,3.919,4.626,1.815
957,3.919,4.606,1.721
958,3.927,4.617,1.733
959,3.913,4.668,1.731
960,3.904,4.602,1.747
961,3.907,4.604,1.813
962,3.903,4.602,1.802
963,3.865,4.592,1.802
964,3.891,4.584,1.815
965,3.864,4.575,1.739
966,3.864,4.579,1.812
967,3.866,4.575,1.788
968,3.875,4.601,1.750
969,3.875,4.556,1.909
970,3.870,4.553,1.796
971,3.862,4.540,1.744
972,3.863,4.594,1.759
973,3.869,4.516,1.812
974,3.869,4.496,1.783
975,3.861,4.484,1.769
976,3.838,4.453,1.808
977,3.872,4.310,1.823
978,3.839,4.293,1.784
979,3.849,4.313,1.682
980,3.838,4.289,1.799
981,3.838,4.276,1.747
982,3.883,4.282,1.767
983,3.829,4.281,1.789
984,3.790,4.275,1.777
985,3.757,4.279,1.744
986,3.737,4.288,1.798
987,3.738,4.315,1.768
988,3.713,4.253,1.758
989,3.753,4.256,1.783
990,3.713,4.251,1.737
991,3.708,4.251,1.700
992,3.713,4.274,1.767
993,3.714,4.250,1.805
