Algorithm,Iteration,N,Evaluation,TrainingTime
GA,30,80,15.0,9019845.0
MIMIC,30,80,25.0,3.07356873E8
RHC,30,100,4.0,152418.0
SA,30,100,3.0,154388.0
GA,30,100,12.0,5305884.0
MIMIC,30,100,15.0,3.15232203E8
RHC,30,120,5.0,113034.0
SA,30,120,2.0,128000.0
GA,30,120,11.0,4706845.0
MIMIC,30,120,18.0,3.34237602E8
RHC,30,140,1.0,130756.0
SA,30,140,1.0,125636.0
GA,30,140,8.0,1.0707079E7
MIMIC,30,140,12.0,7.93243426E8
RHC,30,160,4.0,193772.0
SA,30,160,1.0,220159.0
GA,30,160,8.0,8339281.0
MIMIC,30,160,18.0,8.18484184E8
RHC,30,180,2.0,215434.0
SA,30,180,1.0,241821.0
GA,30,180,17.0,8961556.0
MIMIC,30,180,10.0,1.164338254E9
RHC,30,200,2.0,210707.0
SA,30,200,1.0,220160.0
GA,30,200,8.0,1.1137551E7
MIMIC,30,200,10.0,8.94850788E8
RHC,40,20,20.0,53957.0
SA,40,20,1.0,70892.0
GA,40,20,31.0,2290998.0
MIMIC,40,20,32.0,2.6548324E7
RHC,40,40,36.0,66954.0
SA,40,40,2.0,82314.0
GA,40,40,51.0,2752979.0
MIMIC,40,40,52.0,6.0710071E7
RHC,40,60,14.0,88615.0
SA,40,60,1.0,98856.0
GA,40,60,16.0,3228350.0
MIMIC,40,60,19.0,1.22796239E8
RHC,40,80,9.0,92947.0
SA,40,80,2.0,113821.0
GA,40,80,20.0,3835660.0
MIMIC,40,80,22.0,2.82908138E8
RHC,40,100,2.0,196529.0
SA,40,100,3.0,254818.0
GA,40,100,16.0,9048989.0
MIMIC,40,100,17.0,5.29286337E8
RHC,40,120,4.0,185501.0
SA,40,120,0.0,252849.0
GA,40,120,13.0,8883575.0
MIMIC,40,120,18.0,6.91729013E8
RHC,40,140,7.0,196135.0
SA,40,140,4.0,214645.0
GA,40,140,16.0,7843429.0
MIMIC,40,140,24.0,7.69355527E8
RHC,40,160,2.0,278449.0
SA,40,160,3.0,261907.0
GA,40,160,19.0,9608250.0
MIMIC,40,160,20.0,7.95319779E8
RHC,40,180,6.0,168960.0
SA,40,180,1.0,187865.0
GA,40,180,12.0,6796194.0
MIMIC,40,180,29.0,1.213660682E9
RHC,40,200,5.0,296565.0
SA,40,200,2.0,350916.0
GA,40,200,11.0,1.2734988E7
MIMIC,40,200,30.0,1.570426629E9
RHC,50,20,20.0,74043.0
SA,50,20,7.0,127999.0
GA,50,20,35.0,4118440.0
MIMIC,50,20,33.0,4.4708924E7
RHC,50,40,23.0,99249.0
SA,50,40,2.0,145329.0
GA,50,40,59.0,4860839.0
MIMIC,50,40,20.0,1.00820065E8
RHC,50,60,10.0,103582.0
SA,50,60,1.0,150055.0
GA,50,60,13.0,5123927.0
MIMIC,50,60,24.0,1.71013931E8
RHC,50,80,1.0,104762.0
SA,50,80,0.0,159901.0
GA,50,80,19.0,5037282.0
MIMIC,50,80,19.0,2.43373947E8
RHC,50,100,12.0,174474.0
SA,50,100,4.0,166203.0
GA,50,100,8.0,5411040.0
MIMIC,50,100,24.0,5.4648753E8
RHC,50,120,6.0,200467.0
SA,50,120,2.0,260726.0
GA,50,120,9.0,1.344509E7
MIMIC,50,120,15.0,9.03463003E8
RHC,50,140,3.0,239852.0
SA,50,140,0.0,283963.0
GA,50,140,13.0,1.0586956E7
MIMIC,50,140,15.0,9.18336177E8
RHC,50,160,7.0,233944.0
SA,50,160,2.0,294596.0
GA,50,160,13.0,1.0659423E7
MIMIC,50,160,11.0,9.59134612E8
RHC,50,180,9.0,216615.0
SA,50,180,5.0,240640.0
GA,50,180,11.0,8347157.0
MIMIC,50,180,21.0,1.041312796E9
RHC,50,200,2.0,230006.0
SA,50,200,2.0,272147.0
GA,50,200,10.0,1.2416367E7
MIMIC,50,200,24.0,1.274966642E9
RHC,60,20,14.0,118153.0
SA,60,20,14.0,232763.0
GA,60,20,35.0,7294409.0
MIMIC,60,20,35.0,7.3847963E7
RHC,60,40,21.0,177231.0
SA,60,40,5.0,251667.0
GA,60,40,53.0,8658689.0
MIMIC,60,40,12.0,1.98242032E8
RHC,60,60,20.0,191803.0
SA,60,60,4.0,292233.0
GA,60,60,13.0,9980434.0
MIMIC,60,60,18.0,3.45740642E8
RHC,60,80,4.0,185501.0
SA,60,80,2.0,247729.0
GA,60,80,12.0,8807956.0
MIMIC,60,80,24.0,3.64000885E8
RHC,60,100,10.0,170141.0
SA,60,100,0.0,198104.0
GA,60,100,9.0,6863543.0
MIMIC,60,100,22.0,5.86904722E8
RHC,60,120,2.0,237095.0
SA,60,120,2.0,343433.0
GA,60,120,11.0,1.5895203E7
MIMIC,60,120,20.0,1.039872505E9
RHC,60,140,7.0,248517.0
SA,60,140,0.0,286326.0
GA,60,140,18.0,1.0412482E7
MIMIC,60,140,19.0,8.1688596E8
RHC,60,160,5.0,421808.0
SA,60,160,0.0,465525.0
GA,60,160,11.0,1.8016847E7
MIMIC,60,160,33.0,1.556121774E9
RHC,60,180,8.0,383999.0
SA,60,180,2.0,450165.0
GA,60,180,14.0,1.6484788E7
MIMIC,60,180,19.0,1.572192631E9
RHC,60,200,8.0,269784.0
SA,60,200,3.0,314683.0
GA,60,200,10.0,1.0919361E7
MIMIC,60,200,15.0,1.950444021E9
RHC,10,20,12.0,20480.0
SA,10,20,1.0,29538.0
GA,10,20,32.0,951137.0
MIMIC,10,20,34.0,1.3107959E7
RHC,10,40,5.0,20086.0
SA,10,40,4.0,30720.0
GA,10,40,12.0,1166176.0
MIMIC,10,40,13.0,2.851952E7
RHC,10,60,3.0,25994.0
SA,10,60,7.0,33477.0
GA,10,60,15.0,1283936.0
MIMIC,10,60,18.0,5.257244E7
RHC,10,80,1.0,31901.0
SA,10,80,0.0,42930.0
GA,10,80,15.0,1520243.0
MIMIC,10,80,15.0,8.1052969E7
RHC,10,100,3.0,36234.0
SA,10,100,2.0,42141.0
GA,10,100,13.0,1677387.0
MIMIC,10,100,25.0,1.11963917E8
RHC,10,120,3.0,44110.0
SA,10,120,2.0,45293.0
GA,10,120,13.0,1789240.0
MIMIC,10,120,21.0,1.4222896E8
RHC,10,140,4.0,43323.0
SA,10,140,1.0,46868.0
GA,10,140,10.0,1837682.0
MIMIC,10,140,17.0,1.91264275E8
RHC,10,160,0.0,51200.0
SA,10,160,1.0,51200.0
GA,10,160,15.0,2064931.0
MIMIC,10,160,15.0,2.59790994E8
RHC,10,180,1.0,54351.0
SA,10,180,1.0,56714.0
GA,10,180,7.0,2196869.0
MIMIC,10,180,30.0,3.08145351E8
RHC,10,200,6.0,55138.0
SA,10,200,3.0,64197.0
GA,10,200,11.0,2443023.0
MIMIC,10,200,17.0,3.85092088E8
RHC,20,20,10.0,23237.0
SA,20,20,1.0,36628.0
GA,20,20,35.0,1231160.0
MIMIC,20,20,28.0,1.6453675E7
RHC,20,40,3.0,31901.0
SA,20,40,1.0,43323.0
GA,20,40,49.0,2218924.0
MIMIC,20,40,14.0,7.6687194E7
