Iteration,RHC,SA,GA
852,3.855,3.661,2.363
853,3.891,3.660,2.131
854,3.850,3.650,2.297
855,3.831,3.651,2.228
856,3.829,3.620,2.063
857,3.742,3.619,2.302
858,3.742,3.624,2.126
859,3.776,3.564,2.347
860,3.742,3.565,2.107
861,3.745,3.576,2.300
862,3.742,3.564,2.150
863,3.741,3.563,2.217
864,3.676,3.560,2.196
865,3.677,3.532,2.102
866,3.686,3.592,2.197
867,3.676,3.599,2.120
868,3.749,3.522,2.092
869,3.682,3.463,2.121
870,3.671,3.485,2.136
871,3.694,3.461,2.324
872,3.696,3.460,2.303
873,3.684,3.509,2.233
874,3.672,3.471,2.240
875,3.673,3.452,2.154
876,3.697,3.439,2.177
877,3.671,3.439,2.366
878,3.591,3.458,2.195
879,3.591,3.439,2.123
880,3.588,3.436,2.075
881,3.584,3.428,2.212
882,3.662,3.428,2.160
883,3.572,3.405,2.063
884,3.572,3.430,2.205
885,3.582,3.383,2.162
886,3.649,3.384,2.045
887,3.572,3.383,2.156
888,3.572,3.383,2.170
889,3.572,3.441,2.125
890,3.570,3.359,2.412
891,3.553,3.366,2.210
892,3.553,3.356,2.432
893,3.558,3.344,2.520
894,3.553,3.367,2.258
895,3.575,3.344,2.118
896,3.553,3.347,2.182
897,3.558,3.345,2.318
898,3.552,3.325,2.536
899,3.553,3.325,2.463
900,3.584,3.298,2.240
901,3.557,3.289,2.409
902,3.577,3.288,2.191
903,3.551,3.287,2.060
904,3.551,3.287,2.435
905,3.711,3.300,2.006
906,3.583,3.290,2.161
907,3.556,3.277,2.200
908,3.559,3.343,2.371
909,3.641,3.259,2.136
910,3.551,3.331,2.183
911,3.551,3.255,2.102
912,3.559,3.284,2.225
913,3.627,3.252,2.181
914,3.551,3.276,2.291
915,3.578,3.266,2.174
916,3.518,3.349,2.097
917,3.517,3.260,2.035
918,3.564,3.227,2.052
919,3.518,3.279,2.115
920,3.517,3.240,2.172
921,3.517,3.250,2.161
922,3.519,3.234,2.146
923,3.527,3.198,2.124
924,3.517,3.167,2.026
925,3.517,3.184,2.768
926,3.523,3.167,2.026
927,3.530,3.153,2.197
928,3.516,3.152,2.068
929,3.504,3.152,2.199
930,3.495,3.151,1.987
931,3.511,3.148,2.115
932,3.497,3.149,2.208
933,3.459,3.170,2.020
934,3.442,3.141,2.304
935,3.418,3.158,2.187
936,3.386,3.149,2.127
