gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,276,0.1,0.2423706282359106,-29,29,2.75838723E8
large,281,0.1,0.1780080897375136,-133,133,2.76993478E8
large,286,0.1,0.2605851499817802,-35,35,2.77758326E8
large,291,0.1,0.2358802953405137,-48,48,2.78536958E8
large,296,0.1,0.16803960161136366,-33,33,2.80074531E8
large,301,0.1,0.22065450616573123,-29,29,2.83397799E8
large,306,0.1,0.15734415221474762,-31,31,2.84715606E8
large,311,0.1,0.09460190545694935,-21,21,2.85842004E8
large,316,0.1,0.21874407194294676,-30,30,2.95323045E8
large,321,0.1,0.2262109463109958,-27,27,2.95753518E8
large,326,0.1,0.19176759980057057,-31,31,2.9693348E8
large,331,0.1,0.24189439272056745,-31,31,2.97288334E8
large,336,0.1,0.24323130398723958,-24,24,2.97582931E8
large,341,0.1,0.20737124172640176,-147,147,2.98046093E8
large,346,0.1,0.16144610643021728,-18,18,3.02146812E8
large,351,0.1,0.2134403671658638,-21,21,3.02426442E8
large,356,0.1,0.23699061917828046,-25,25,3.02725371E8
large,361,0.1,0.20279565669211763,-25,25,3.03290539E8
large,366,0.1,0.24411786383890544,-30,30,3.03635548E8
large,371,0.1,0.18889151054793984,-20,20,3.03908876E8
large,376,0.1,0.291141236148319,-32,32,3.0418575E8
large,381,0.1,0.21376452260400924,-39,39,3.04533515E8
large,386,0.1,0.19873351456619837,-27,27,3.06338509E8
large,391,0.1,0.2344945217333354,-24,24,3.06939123E8
large,396,0.1,0.19852034930783802,-19,19,3.07654741E8
large,401,0.1,0.16638071479802896,-21,21,3.08284499E8
large,406,0.1,0.21617664572210415,-25,25,3.08881175E8
large,411,0.1,0.2461104065715607,-25,25,3.0943374E8
large,416,0.1,0.23563145308235534,-17,17,3.10033173E8
large,421,0.1,0.19654204460187596,-23,23,3.10640877E8
large,426,0.1,0.26046505184341484,-25,25,3.11308839E8
large,431,0.1,0.24319543861117365,-23,23,3.12246979E8
large,436,0.1,0.19542605790507217,-24,24,3.13342657E8
large,441,0.1,0.16018762253324237,-21,21,3.13963751E8
large,446,0.1,0.23748707297767435,-30,30,3.14611233E8
large,451,0.1,0.21675729658928589,-24,24,3.15131503E8
large,456,0.1,0.21314202446049713,-27,27,3.15731329E8
large,461,0.1,0.16103527416695407,-23,23,3.2206082E8
large,466,0.1,0.19808612767500833,-18,18,3.22578726E8
large,471,0.1,0.18510002860370456,-31,31,3.23173039E8
large,476,0.1,0.19899974311911528,-31,31,3.23765777E8
large,481,0.1,0.26664899148879817,-39,39,3.24365997E8
large,486,0.1,0.13897559618985156,-19,19,3.24894932E8
large,491,0.1,0.09207777895126323,-16,16,3.25430168E8
large,496,0.1,0.12258990543766934,-22,22,3.2599573E8
large,501,0.1,0.26792712018466425,-40,40,3.26593193E8
large,506,0.1,0.21177446642078124,-18,18,3.27120552E8
