Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,30,50,train,63.516,0.282
RHC,30,50,test,64.035,0.003
SA,30,50,train,70.549,0.406
SA,30,50,test,66.667,0.002
GA,30,50,train,97.363,12.110
GA,30,50,test,97.368,0.001
RHC,30,60,train,35.824,0.370
RHC,30,60,test,43.860,0.003
SA,30,60,train,53.846,0.451
SA,30,60,test,49.123,0.002
GA,30,60,train,97.582,16.541
GA,30,60,test,97.368,0.001
RHC,40,10,train,36.703,0.098
RHC,40,10,test,39.474,0.001
SA,40,10,train,23.516,0.199
SA,40,10,test,26.316,0.001
GA,40,10,train,96.264,3.850
GA,40,10,test,97.368,0.001
RHC,40,20,train,80.879,0.265
RHC,40,20,test,81.579,0.001
SA,40,20,train,54.286,0.202
SA,40,20,test,60.526,0.001
GA,40,20,train,96.923,7.108
GA,40,20,test,95.614,0.001
RHC,40,30,train,75.385,0.181
RHC,40,30,test,73.684,0.001
SA,40,30,train,41.538,0.383
SA,40,30,test,40.351,0.001
GA,40,30,train,97.143,10.936
GA,40,30,test,96.491,0.001
RHC,40,40,train,59.121,0.218
RHC,40,40,test,59.649,0.001
SA,40,40,train,74.286,0.449
SA,40,40,test,70.175,0.002
GA,40,40,train,96.923,13.207
GA,40,40,test,97.368,0.002
RHC,40,50,train,75.385,0.366
RHC,40,50,test,78.070,0.003
SA,40,50,train,81.538,0.508
SA,40,50,test,82.456,0.003
GA,40,50,train,97.143,17.623
GA,40,50,test,98.246,0.001
RHC,40,60,train,63.516,0.308
RHC,40,60,test,64.035,0.001
SA,40,60,train,24.176,0.532
SA,40,60,test,20.175,0.002
GA,40,60,train,97.143,20.118
GA,40,60,test,97.368,0.001
RHC,50,10,train,72.747,0.094
RHC,50,10,test,66.667,0.000
SA,50,10,train,74.945,0.101
SA,50,10,test,75.439,0.000
GA,50,10,train,96.923,4.948
GA,50,10,test,97.368,0.001
