Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
MIMIC,30,20,0.1336602353828482,8.3472361E7
RHC,30,30,0.13440835101116105,197316.0
SA,30,30,0.07526364283598591,219372.0
GA,30,30,0.17949859063801843,1.8638335E7
MIMIC,30,30,0.1272403268879824,2.33530177E8
RHC,30,40,0.09171979901509629,348946.0
SA,30,40,0.05224273951644511,387150.0
GA,30,40,0.15877920465922038,3.5629609E7
MIMIC,30,40,0.0976266684665507,5.44039782E8
RHC,30,50,0.07748284769688597,224492.0
SA,30,50,0.0388818921194743,242609.0
GA,30,50,0.1302704131991283,2.4030865E7
MIMIC,30,50,0.08226775547247865,7.31069038E8
RHC,30,60,0.06198389546023481,235126.0
SA,30,60,0.03314913891096927,251273.0
GA,30,60,0.09498716308208306,2.5613335E7
MIMIC,30,60,0.046612440823272865,2.277186748E9
RHC,40,10,0.442648703968656,181169.0
SA,40,10,0.25515553225919446,230793.0
GA,40,10,0.4301010549210328,1.3155615E7
MIMIC,40,10,0.43509817782292787,3.9164764E7
RHC,40,20,0.1750874129744393,434412.0
SA,40,20,0.10829878526707394,319409.0
GA,40,20,0.24098417858977064,2.2166007E7
MIMIC,40,20,0.1587698967542971,1.31374583E8
RHC,40,30,0.13223100049410696,314682.0
SA,40,30,0.06847770600510421,309563.0
GA,40,30,0.21078382109297494,2.5386086E7
MIMIC,40,30,0.10942909417643289,3.48793337E8
RHC,40,40,0.09929224029465968,398177.0
SA,40,40,0.048683837997635586,493882.0
GA,40,40,0.19275359373612141,3.8030096E7
MIMIC,40,40,0.099600206890799,8.62346735E8
RHC,40,50,0.06809420223594104,488762.0
SA,40,50,0.03646231896086056,519482.0
GA,40,50,0.13507656201559312,5.0407078E7
MIMIC,40,50,0.0713098061959812,1.549652471E9
RHC,40,60,0.06792697166925306,662841.0
SA,40,60,0.033777824823106796,704589.0
GA,40,60,0.10936348457013646,6.316294E7
MIMIC,40,60,0.06135496865688948,2.409531765E9
RHC,50,10,0.35053664682132873,98461.0
SA,50,10,0.22036428165257008,126424.0
GA,50,10,0.3678402227776317,7472427.0
MIMIC,50,10,0.34788090919298587,2.23968E7
RHC,50,20,0.19623776516163938,153206.0
SA,50,20,0.10515832797927428,179593.0
GA,50,20,0.26642748876695477,1.2629044E7
MIMIC,50,20,0.14729605121083184,8.8691598E7
RHC,50,30,0.14807820139811767,211495.0
SA,50,30,0.07631290019200732,237882.0
GA,50,30,0.18298543425211036,1.9465017E7
MIMIC,50,30,0.1385731075033722,2.83167288E8
RHC,50,40,0.09585411225949694,567138.0
SA,50,40,0.041300986828709245,628971.0
GA,50,40,0.1805494875425595,5.5451843E7
MIMIC,50,40,0.08864393920880248,8.32936731E8
RHC,50,50,0.08274516956157577,719162.0
SA,50,50,0.04006232332320641,764848.0
GA,50,50,0.1621807049162871,7.0014273E7
MIMIC,50,50,0.07583078740150076,2.13699003E9
RHC,50,60,0.05589084675610334,733734.0
SA,50,60,0.031065826395674845,660873.0
GA,50,60,0.11196622184253152,6.2738768E7
MIMIC,50,60,0.05521628805881437,2.728061635E9
RHC,60,10,0.37739814010841516,118941.0
SA,60,10,0.18998143393668035,151237.0
GA,60,10,0.3773981401084152,8404659.0
MIMIC,60,10,0.3466407864368489,2.6896483E7
RHC,60,20,0.20310856765934304,181562.0
SA,60,20,0.09479629711255594,215040.0
GA,60,20,0.2624515721138622,1.5228816E7
MIMIC,60,20,0.20520973971100256,1.05547784E8
RHC,60,30,0.14510359789106494,252061.0
SA,60,30,0.05624328841890404,284356.0
GA,60,30,0.21428301142667527,2.1875743E7
MIMIC,60,30,0.12652721413136458,2.86393275E8
RHC,60,40,0.09576927172508024,318621.0
SA,60,40,0.0401850038933819,348554.0
GA,60,40,0.1779664305046571,3.0090174E7
MIMIC,60,40,0.08385194510326589,6.8561929E8
RHC,60,50,0.07327788151231295,388726.0
SA,60,50,0.03993004322695314,417082.0
GA,60,50,0.1471829348963829,3.8947756E7
MIMIC,60,50,0.07715571122891593,2.009816201E9
RHC,60,60,0.06445929548862851,983038.0
SA,60,60,0.031179091905217893,1054324.0
GA,60,60,0.11715833952075917,9.0762831E7
MIMIC,60,60,0.05544026633006247,3.244212837E9
RHC,10,10,0.3753293755885363,25993.0
SA,10,10,0.21373573223861123,29145.0
GA,10,10,0.40112946473306843,1683295.0
MIMIC,10,10,0.4054797933353848,5247989.0
RHC,10,20,0.14335409278420522,32689.0
SA,10,20,0.07770126953384147,37810.0
GA,10,20,0.20782712375196882,2995981.0
MIMIC,10,20,0.11300839724346419,2.001128E7
RHC,10,30,0.0897035266469125,47261.0
SA,10,30,0.055505271025090695,51200.0
GA,10,30,0.1607693717048769,4381529.0
MIMIC,10,30,0.10450326461731707,5.9058284E7
RHC,10,40,0.08324751562314381,58289.0
SA,10,40,0.05954837674889752,61440.0
GA,10,40,0.12109286947054403,5920677.0
MIMIC,10,40,0.08932870810570834,1.29583375E8
RHC,10,50,0.053854004973435614,71680.0
SA,10,50,0.03802023275050439,75225.0
GA,10,50,0.09092125378337086,7500390.0
MIMIC,10,50,0.05141925677510525,2.64729026E8
RHC,10,60,0.04420722964546297,84677.0
SA,10,60,0.037484702104116606,85858.0
GA,10,60,0.07212947366387965,9247487.0
MIMIC,10,60,0.044588394918646024,5.52322742E8
RHC,20,10,0.3293760809541928,94916.0
SA,20,10,0.1416170219003692,116578.0
GA,20,10,0.31067783915335345,6725696.0
MIMIC,20,10,0.24821506908612842,2.0561875E7
RHC,20,20,0.17160617203213047,136271.0
SA,20,20,0.09056326696222623,158326.0
GA,20,20,0.22888561879386188,1.2115075E7
MIMIC,20,20,0.12943420654772153,7.4242203E7
RHC,20,30,0.10578566725130163,172898.0
SA,20,30,0.061077980253792366,191803.0
GA,20,30,0.15182868878577738,1.6893207E7
MIMIC,20,30,0.09973143427383149,1.68511832E8
RHC,20,40,0.09869021465729241,224885.0
SA,20,40,0.05076025692592695,181169.0
GA,20,40,0.1607492448715919,1.7281932E7
MIMIC,20,40,0.09349623482886503,3.50556582E8
RHC,20,50,0.06596720367362624,290658.0
SA,20,50,0.03714899915908114,307987.0
GA,20,50,0.09870222844741153,3.136584E7
MIMIC,20,50,0.0598141123042,6.60513228E8
RHC,20,60,0.051924159550513285,160689.0
SA,20,60,0.029780243195364774,167384.0
GA,20,60,0.08343719713157235,1.7709254E7
MIMIC,20,60,0.04683851281591178,1.418570515E9
RHC,30,10,0.41262411334850135,73255.0
SA,30,10,0.23694695703391214,91372.0
GA,30,10,0.4126241133485014,5478388.0
MIMIC,30,10,0.36933095159082574,1.6463128E7
RHC,30,20,0.18333591057191478,109095.0
SA,30,20,0.09589862418379111,129969.0
GA,30,20,0.2515741176957344,9493641.0
MIMIC,30,20,0.17658164438993235,5.7265894E7
RHC,30,30,0.11775482710119839,138634.0
SA,30,30,0.06454031436705544,155175.0
GA,30,30,0.171347739326173,1.3084328E7
MIMIC,30,30,0.10766178474394025,1.46605763E8
RHC,30,40,0.08527977337448431,163052.0
SA,30,40,0.04555964639290147,176836.0
GA,30,40,0.13531352785768527,1.658522E7
MIMIC,30,40,0.08659596620373144,6.05446959E8
RHC,30,50,0.0662603148327939,430867.0
SA,30,50,0.04115466876206609,458436.0
GA,30,50,0.11452720186832693,4.5361133E7
MIMIC,30,50,0.06636289007930168,1.012979172E9
RHC,30,60,0.06007801544250292,236701.0
SA,30,60,0.031153933039991036,250485.0
GA,30,60,0.08702535691516773,2.5827194E7
MIMIC,30,60,0.053022145081103325,1.820802358E9
RHC,40,10,0.3241489436494278,87433.0
SA,40,10,0.21523174521771213,112640.0
GA,40,10,0.32804579082470436,6607543.0
MIMIC,40,10,0.30897810763217715,1.9312992E7
RHC,40,20,0.18690366334185374,125243.0
SA,40,20,0.08878872859255642,147692.0
GA,40,20,0.24393915463923338,1.035183E7
MIMIC,40,20,0.15407088308450695,6.9536932E7
RHC,40,30,0.1533027157039262,170535.0
SA,40,30,0.06611751296944873,192591.0
GA,40,30,0.16913281636576885,1.6003904E7
MIMIC,40,30,0.12061160702428221,1.93511163E8
RHC,40,40,0.10051147395292327,214646.0
SA,40,40,0.04546474544933422,231975.0
GA,40,40,0.18712682468481814,2.1218022E7
MIMIC,40,40,0.0886549189012986,4.60102289E8
RHC,40,50,0.08201886010389703,263089.0
SA,40,50,0.038303647460686534,282387.0
GA,40,50,0.1375157064213482,2.7242279E7
MIMIC,40,50,0.06985323139447876,9.46450824E8
RHC,40,60,0.06157472910664872,310744.0
SA,40,60,0.034415481448141896,328074.0
GA,40,60,0.1199737698665034,3.3333097E7
MIMIC,40,60,0.05268422102926051,2.040443974E9
RHC,50,10,0.36136975795421217,102006.0
SA,50,10,0.18568464682032185,129181.0
GA,50,10,0.35949743763990505,7316071.0
MIMIC,50,10,0.30403758669922115,2.2048641E7
RHC,50,20,0.19090563712185554,153599.0
SA,50,20,0.09502297652999092,176837.0
GA,50,20,0.24035159144498353,1.271884E7
MIMIC,50,20,0.16235309593606811,8.6091826E7
RHC,50,30,0.1437792907991971,215828.0
SA,50,30,0.06685906270087304,238277.0
GA,50,30,0.20951257558889547,1.9015639E7
MIMIC,50,30,0.13745479502149738,2.3537298E8
RHC,50,40,0.11319273697529089,265452.0
SA,50,40,0.05318266017645429,292233.0
GA,50,40,0.181490813776496,2.5541655E7
MIMIC,50,40,0.09158388271034083,7.87548423E8
RHC,50,50,0.07651486598908534,460799.0
SA,50,50,0.03788060227378171,478916.0
GA,50,50,0.1461480245092902,4.4559657E7
MIMIC,50,50,0.07064472576775445,1.211340539E9
RHC,50,60,0.061546182683582425,381636.0
SA,50,60,0.03160255196538209,414326.0
GA,50,60,0.13161139993553525,4.4720347E7
MIMIC,50,60,0.06017855433197824,2.45033532E9
RHC,60,10,0.3725074892570852,118941.0
SA,60,10,0.2063865771112972,152418.0
GA,60,10,0.3658838134300857,9108854.0
MIMIC,60,10,0.3626698361607128,2.6481765E7
RHC,60,20,0.16793502539183994,180775.0
SA,60,20,0.0806636276583923,215040.0
GA,60,20,0.24035158182556035,1.4397803E7
MIMIC,60,20,0.15557640217699206,1.0151914E8
RHC,60,30,0.13337053342652508,252849.0
SA,60,30,0.06300283912923904,280811.0
GA,60,30,0.1774319605956927,2.276032E7
MIMIC,60,30,0.12738146358749664,3.91019067E8
RHC,60,40,0.11086230815253771,629759.0
SA,60,40,0.05135536203965006,704589.0
GA,60,40,0.1640104829617379,6.0261876E7
MIMIC,60,40,0.0932988025559879,8.10436349E8
RHC,60,50,0.07746046950728334,387543.0
SA,60,50,0.040387807461671636,422596.0
GA,60,50,0.1340005076558022,6.8882361E7
MIMIC,60,50,0.07252662043299747,1.398111039E9
RHC,60,60,0.07299211900622929,457648.0
SA,60,60,0.03126640710713309,487580.0
GA,60,60,0.11543161142345396,4.8363021E7
MIMIC,60,60,0.05622778734743256,3.613369551E9
